period,subba,subba-name,parent,parent-name,value,value-units
2024-03-28T05,ZONJ,New York City,NYIS,New York Independent System Operator,4449,megawatthours
2024-03-28T04,ZONJ,New York City,NYIS,New York Independent System Operator,4719,megawatthours
2024-03-28T03,ZONJ,New York City,NYIS,New York Independent System Operator,5044,megawatthours
2024-03-28T02,ZONJ,New York City,NYIS,New York Independent System Operator,5335,megawatthours
2024-03-28T01,ZONJ,New York City,NYIS,New York Independent System Operator,5540,megawatthours
2024-03-28T00,ZONJ,New York City,NYIS,New York Independent System Operator,5664,megawatthours
2024-03-27T23,ZONJ,New York City,NYIS,New York Independent System Operator,5738,megawatthours
2024-03-27T22,ZONJ,New York City,NYIS,New York Independent System Operator,5844,megawatthours
2024-03-27T21,ZONJ,New York City,NYIS,New York Independent System Operator,5848,megawatthours
2024-03-27T20,ZONJ,New York City,NYIS,New York Independent System Operator,5789,megawatthours
2024-03-27T19,ZONJ,New York City,NYIS,New York Independent System Operator,5766,megawatthours
2024-03-27T18,ZONJ,New York City,NYIS,New York Independent System Operator,5765,megawatthours
2024-03-27T17,ZONJ,New York City,NYIS,New York Independent System Operator,5806,megawatthours
2024-03-27T16,ZONJ,New York City,NYIS,New York Independent System Operator,5827,megawatthours
2024-03-27T15,ZONJ,New York City,NYIS,New York Independent System Operator,5816,megawatthours
2024-03-27T14,ZONJ,New York City,NYIS,New York Independent System Operator,5757,megawatthours
2024-03-27T13,ZONJ,New York City,NYIS,New York Independent System Operator,5567,megawatthours
2024-03-27T12,ZONJ,New York City,NYIS,New York Independent System Operator,5281,megawatthours
2024-03-27T11,ZONJ,New York City,NYIS,New York Independent System Operator,4854,megawatthours
2024-03-27T10,ZONJ,New York City,NYIS,New York Independent System Operator,4408,megawatthours
2024-03-27T09,ZONJ,New York City,NYIS,New York Independent System Operator,4190,megawatthours
2024-03-27T08,ZONJ,New York City,NYIS,New York Independent System Operator,4152,megawatthours
2024-03-27T07,ZONJ,New York City,NYIS,New York Independent System Operator,4202,megawatthours
2024-03-27T06,ZONJ,New York City,NYIS,New York Independent System Operator,4307,megawatthours
2024-03-27T05,ZONJ,New York City,NYIS,New York Independent System Operator,4488,megawatthours
2024-03-27T04,ZONJ,New York City,NYIS,New York Independent System Operator,4751,megawatthours
2024-03-27T03,ZONJ,New York City,NYIS,New York Independent System Operator,5082,megawatthours
2024-03-27T02,ZONJ,New York City,NYIS,New York Independent System Operator,5379,megawatthours
2024-03-27T01,ZONJ,New York City,NYIS,New York Independent System Operator,5566,megawatthours
2024-03-27T00,ZONJ,New York City,NYIS,New York Independent System Operator,5684,megawatthours
2024-03-26T23,ZONJ,New York City,NYIS,New York Independent System Operator,5688,megawatthours
2024-03-26T22,ZONJ,New York City,NYIS,New York Independent System Operator,5733,megawatthours
2024-03-26T21,ZONJ,New York City,NYIS,New York Independent System Operator,5657,megawatthours
2024-03-26T20,ZONJ,New York City,NYIS,New York Independent System Operator,5582,megawatthours
2024-03-26T19,ZONJ,New York City,NYIS,New York Independent System Operator,5586,megawatthours
2024-03-26T18,ZONJ,New York City,NYIS,New York Independent System Operator,5679,megawatthours
2024-03-26T17,ZONJ,New York City,NYIS,New York Independent System Operator,5684,megawatthours
2024-03-26T16,ZONJ,New York City,NYIS,New York Independent System Operator,5652,megawatthours
2024-03-26T15,ZONJ,New York City,NYIS,New York Independent System Operator,5644,megawatthours
2024-03-26T14,ZONJ,New York City,NYIS,New York Independent System Operator,5673,megawatthours
2024-03-26T13,ZONJ,New York City,NYIS,New York Independent System Operator,5596,megawatthours
2024-03-26T12,ZONJ,New York City,NYIS,New York Independent System Operator,5364,megawatthours
2024-03-26T11,ZONJ,New York City,NYIS,New York Independent System Operator,4983,megawatthours
2024-03-26T10,ZONJ,New York City,NYIS,New York Independent System Operator,4525,megawatthours
2024-03-26T09,ZONJ,New York City,NYIS,New York Independent System Operator,4300,megawatthours
2024-03-26T08,ZONJ,New York City,NYIS,New York Independent System Operator,4245,megawatthours
2024-03-26T07,ZONJ,New York City,NYIS,New York Independent System Operator,4296,megawatthours
2024-03-26T06,ZONJ,New York City,NYIS,New York Independent System Operator,4393,megawatthours
2024-03-26T05,ZONJ,New York City,NYIS,New York Independent System Operator,4563,megawatthours
2024-03-26T04,ZONJ,New York City,NYIS,New York Independent System Operator,4819,megawatthours
2024-03-26T03,ZONJ,New York City,NYIS,New York Independent System Operator,5136,megawatthours
2024-03-26T02,ZONJ,New York City,NYIS,New York Independent System Operator,5428,megawatthours
2024-03-26T01,ZONJ,New York City,NYIS,New York Independent System Operator,5594,megawatthours
2024-03-26T00,ZONJ,New York City,NYIS,New York Independent System Operator,5673,megawatthours
2024-03-25T23,ZONJ,New York City,NYIS,New York Independent System Operator,5642,megawatthours
2024-03-25T22,ZONJ,New York City,NYIS,New York Independent System Operator,5691,megawatthours
2024-03-25T21,ZONJ,New York City,NYIS,New York Independent System Operator,5636,megawatthours
2024-03-25T20,ZONJ,New York City,NYIS,New York Independent System Operator,5591,megawatthours
2024-03-25T19,ZONJ,New York City,NYIS,New York Independent System Operator,5605,megawatthours
2024-03-25T18,ZONJ,New York City,NYIS,New York Independent System Operator,5662,megawatthours
2024-03-25T17,ZONJ,New York City,NYIS,New York Independent System Operator,5717,megawatthours
2024-03-25T16,ZONJ,New York City,NYIS,New York Independent System Operator,5757,megawatthours
2024-03-25T15,ZONJ,New York City,NYIS,New York Independent System Operator,5773,megawatthours
2024-03-25T14,ZONJ,New York City,NYIS,New York Independent System Operator,5774,megawatthours
2024-03-25T13,ZONJ,New York City,NYIS,New York Independent System Operator,5699,megawatthours
2024-03-25T12,ZONJ,New York City,NYIS,New York Independent System Operator,5490,megawatthours
2024-03-25T11,ZONJ,New York City,NYIS,New York Independent System Operator,5103,megawatthours
2024-03-25T10,ZONJ,New York City,NYIS,New York Independent System Operator,4645,megawatthours
2024-03-25T09,ZONJ,New York City,NYIS,New York Independent System Operator,4390,megawatthours
2024-03-25T08,ZONJ,New York City,NYIS,New York Independent System Operator,4342,megawatthours
2024-03-25T07,ZONJ,New York City,NYIS,New York Independent System Operator,4384,megawatthours
2024-03-25T06,ZONJ,New York City,NYIS,New York Independent System Operator,4492,megawatthours
2024-03-25T05,ZONJ,New York City,NYIS,New York Independent System Operator,4651,megawatthours
2024-03-25T04,ZONJ,New York City,NYIS,New York Independent System Operator,4878,megawatthours
2024-03-25T03,ZONJ,New York City,NYIS,New York Independent System Operator,5128,megawatthours
2024-03-25T02,ZONJ,New York City,NYIS,New York Independent System Operator,5309,megawatthours
2024-03-25T01,ZONJ,New York City,NYIS,New York Independent System Operator,5391,megawatthours
2024-03-25T00,ZONJ,New York City,NYIS,New York Independent System Operator,5368,megawatthours
2024-03-24T23,ZONJ,New York City,NYIS,New York Independent System Operator,5229,megawatthours
2024-03-24T22,ZONJ,New York City,NYIS,New York Independent System Operator,5123,megawatthours
2024-03-24T21,ZONJ,New York City,NYIS,New York Independent System Operator,5036,megawatthours
2024-03-24T20,ZONJ,New York City,NYIS,New York Independent System Operator,4992,megawatthours
2024-03-24T19,ZONJ,New York City,NYIS,New York Independent System Operator,4995,megawatthours
2024-03-24T18,ZONJ,New York City,NYIS,New York Independent System Operator,5025,megawatthours
2024-03-24T17,ZONJ,New York City,NYIS,New York Independent System Operator,5057,megawatthours
2024-03-24T16,ZONJ,New York City,NYIS,New York Independent System Operator,5069,megawatthours
2024-03-24T15,ZONJ,New York City,NYIS,New York Independent System Operator,5023,megawatthours
2024-03-24T14,ZONJ,New York City,NYIS,New York Independent System Operator,4947,megawatthours
2024-03-24T13,ZONJ,New York City,NYIS,New York Independent System Operator,4841,megawatthours
2024-03-24T12,ZONJ,New York City,NYIS,New York Independent System Operator,4712,megawatthours
2024-03-24T11,ZONJ,New York City,NYIS,New York Independent System Operator,4574,megawatthours
2024-03-24T10,ZONJ,New York City,NYIS,New York Independent System Operator,4458,megawatthours
2024-03-24T09,ZONJ,New York City,NYIS,New York Independent System Operator,4397,megawatthours
2024-03-24T08,ZONJ,New York City,NYIS,New York Independent System Operator,4417,megawatthours
2024-03-24T07,ZONJ,New York City,NYIS,New York Independent System Operator,4508,megawatthours
2024-03-24T06,ZONJ,New York City,NYIS,New York Independent System Operator,4621,megawatthours
2024-03-24T05,ZONJ,New York City,NYIS,New York Independent System Operator,4791,megawatthours
2024-03-24T04,ZONJ,New York City,NYIS,New York Independent System Operator,4991,megawatthours
2024-03-24T03,ZONJ,New York City,NYIS,New York Independent System Operator,5186,megawatthours
2024-03-24T02,ZONJ,New York City,NYIS,New York Independent System Operator,5330,megawatthours
2024-03-24T01,ZONJ,New York City,NYIS,New York Independent System Operator,5433,megawatthours
2024-03-24T00,ZONJ,New York City,NYIS,New York Independent System Operator,5475,megawatthours
2024-03-23T23,ZONJ,New York City,NYIS,New York Independent System Operator,5465,megawatthours
2024-03-23T22,ZONJ,New York City,NYIS,New York Independent System Operator,5478,megawatthours
2024-03-23T21,ZONJ,New York City,NYIS,New York Independent System Operator,5484,megawatthours
2024-03-23T20,ZONJ,New York City,NYIS,New York Independent System Operator,5473,megawatthours
2024-03-23T19,ZONJ,New York City,NYIS,New York Independent System Operator,5489,megawatthours
2024-03-23T18,ZONJ,New York City,NYIS,New York Independent System Operator,5481,megawatthours
2024-03-23T17,ZONJ,New York City,NYIS,New York Independent System Operator,5485,megawatthours
2024-03-23T16,ZONJ,New York City,NYIS,New York Independent System Operator,5449,megawatthours
2024-03-23T15,ZONJ,New York City,NYIS,New York Independent System Operator,5356,megawatthours
2024-03-23T14,ZONJ,New York City,NYIS,New York Independent System Operator,5190,megawatthours
2024-03-23T13,ZONJ,New York City,NYIS,New York Independent System Operator,4947,megawatthours
2024-03-23T12,ZONJ,New York City,NYIS,New York Independent System Operator,4720,megawatthours
2024-03-23T11,ZONJ,New York City,NYIS,New York Independent System Operator,4510,megawatthours
2024-03-23T10,ZONJ,New York City,NYIS,New York Independent System Operator,4358,megawatthours
2024-03-23T09,ZONJ,New York City,NYIS,New York Independent System Operator,4294,megawatthours
2024-03-23T08,ZONJ,New York City,NYIS,New York Independent System Operator,4305,megawatthours
2024-03-23T07,ZONJ,New York City,NYIS,New York Independent System Operator,4402,megawatthours
2024-03-23T06,ZONJ,New York City,NYIS,New York Independent System Operator,4511,megawatthours
2024-03-23T05,ZONJ,New York City,NYIS,New York Independent System Operator,4688,megawatthours
2024-03-23T04,ZONJ,New York City,NYIS,New York Independent System Operator,4943,megawatthours
2024-03-23T03,ZONJ,New York City,NYIS,New York Independent System Operator,5224,megawatthours
2024-03-23T02,ZONJ,New York City,NYIS,New York Independent System Operator,5487,megawatthours
2024-03-23T01,ZONJ,New York City,NYIS,New York Independent System Operator,5682,megawatthours
2024-03-23T00,ZONJ,New York City,NYIS,New York Independent System Operator,5856,megawatthours
2024-03-22T23,ZONJ,New York City,NYIS,New York Independent System Operator,5945,megawatthours
2024-03-22T22,ZONJ,New York City,NYIS,New York Independent System Operator,6005,megawatthours
2024-03-22T21,ZONJ,New York City,NYIS,New York Independent System Operator,5963,megawatthours
2024-03-22T20,ZONJ,New York City,NYIS,New York Independent System Operator,5841,megawatthours
2024-03-22T19,ZONJ,New York City,NYIS,New York Independent System Operator,5684,megawatthours
2024-03-22T18,ZONJ,New York City,NYIS,New York Independent System Operator,5727,megawatthours
2024-03-22T17,ZONJ,New York City,NYIS,New York Independent System Operator,5815,megawatthours
2024-03-22T16,ZONJ,New York City,NYIS,New York Independent System Operator,5895,megawatthours
2024-03-22T15,ZONJ,New York City,NYIS,New York Independent System Operator,5892,megawatthours
2024-03-22T14,ZONJ,New York City,NYIS,New York Independent System Operator,5908,megawatthours
2024-03-22T13,ZONJ,New York City,NYIS,New York Independent System Operator,5832,megawatthours
2024-03-22T12,ZONJ,New York City,NYIS,New York Independent System Operator,5611,megawatthours
2024-03-22T11,ZONJ,New York City,NYIS,New York Independent System Operator,5208,megawatthours
2024-03-22T10,ZONJ,New York City,NYIS,New York Independent System Operator,4762,megawatthours
2024-03-22T09,ZONJ,New York City,NYIS,New York Independent System Operator,4538,megawatthours
2024-03-22T08,ZONJ,New York City,NYIS,New York Independent System Operator,4485,megawatthours
2024-03-22T07,ZONJ,New York City,NYIS,New York Independent System Operator,4533,megawatthours
2024-03-22T06,ZONJ,New York City,NYIS,New York Independent System Operator,4644,megawatthours
2024-03-22T05,ZONJ,New York City,NYIS,New York Independent System Operator,4821,megawatthours
2024-03-22T04,ZONJ,New York City,NYIS,New York Independent System Operator,5087,megawatthours
2024-03-22T03,ZONJ,New York City,NYIS,New York Independent System Operator,5384,megawatthours
2024-03-22T02,ZONJ,New York City,NYIS,New York Independent System Operator,5657,megawatthours
2024-03-22T01,ZONJ,New York City,NYIS,New York Independent System Operator,5821,megawatthours
2024-03-22T00,ZONJ,New York City,NYIS,New York Independent System Operator,5898,megawatthours
2024-03-21T23,ZONJ,New York City,NYIS,New York Independent System Operator,5870,megawatthours
2024-03-21T22,ZONJ,New York City,NYIS,New York Independent System Operator,5893,megawatthours
2024-03-21T21,ZONJ,New York City,NYIS,New York Independent System Operator,5831,megawatthours
2024-03-21T20,ZONJ,New York City,NYIS,New York Independent System Operator,5776,megawatthours
2024-03-21T19,ZONJ,New York City,NYIS,New York Independent System Operator,5767,megawatthours
2024-03-21T18,ZONJ,New York City,NYIS,New York Independent System Operator,5816,megawatthours
2024-03-21T17,ZONJ,New York City,NYIS,New York Independent System Operator,5852,megawatthours
2024-03-21T16,ZONJ,New York City,NYIS,New York Independent System Operator,5896,megawatthours
2024-03-21T15,ZONJ,New York City,NYIS,New York Independent System Operator,5920,megawatthours
2024-03-21T14,ZONJ,New York City,NYIS,New York Independent System Operator,5915,megawatthours
2024-03-21T13,ZONJ,New York City,NYIS,New York Independent System Operator,5831,megawatthours
2024-03-21T12,ZONJ,New York City,NYIS,New York Independent System Operator,5602,megawatthours
